% 1. Title: 2015 NCAA Basketball Season
%
% 2. Sources:
%      (a) Creator: Reed Wilson
%      (b) Date: March 9, 2015

@relation 2015

@attribute location                           { h, a, n }
@attribute points_for                         real
@attribute points_against                     real
@attribute field_goal_percent                 real
@attribute free_throw_percent                 real
@attribute three_point_percent                real
@attribute efficient_field_goal_percent       real
@attribute points_per_weighted_shot           real
@attribute turnover_rate                      real
@attribute blocks                             real
@attribute fouls                              real
@attribute offensive_rebounds                 real
@attribute total_rebounds                     real
@attribute steals                             real
@attribute assists                            real
@attribute possessions                        real
@attribute offensive_points_per_possession    real
@attribute defensive_points_per_possession    real
@attribute outcome                            { w, l }

@data
h,79,38,48.4,71.4,41.2,53.9,1.12,3.0,1,10,6,32,17,23,67,1.19,0.00,w
a,79,75,54.5,76.9,64.7,67.0,1.40,22.6,4,19,5,29,3,13,66,1.19,1.07,w
h,78,81,38.0,90.0,31.6,42.3,0.97,7.9,5,20,11,30,6,17,76,1.03,1.11,l
h,77,91,49.2,57.1,57.9,58.5,1.17,18.4,3,20,8,24,5,19,71,1.09,1.32,l
h,77,71,36.2,90.6,23.1,41.4,1.05,19.7,2,17,16,41,6,15,71,1.08,1.01,w
a,72,69,41.8,66.7,31.6,47.3,1.04,9.1,6,13,9,36,9,10,66,1.09,0.98,w
a,71,72,36.8,82.8,26.3,41.2,1.00,18.9,2,22,15,42,6,7,69,1.03,1.04,l
h,71,60,41.5,65.6,31.6,47.2,1.04,16.1,2,17,11,33,8,12,68,1.04,0.86,w
h,69,74,37.1,72.0,25.0,41.1,0.93,18.1,2,19,15,35,3,15,72,0.96,1.16,l
h,68,69,45.5,84.6,28.6,52.3,1.21,22.3,2,25,4,29,4,16,67,1.01,1.00,l
h,67,72,47.8,76.2,50.0,55.4,1.20,16.4,2,18,5,23,8,13,61,1.10,1.08,l
h,67,64,37.0,82.8,30.0,39.8,0.99,15.8,5,12,9,37,7,15,70,0.96,0.93,w
h,67,77,37.5,59.3,15.0,39.8,0.87,19.5,4,25,19,37,8,13,72,0.93,1.12,l
a,65,71,42.6,87.5,38.5,47.2,1.06,13.5,2,17,4,26,8,8,67,0.98,1.09,l
h,65,70,38.5,73.9,36.4,46.2,1.03,13.4,5,19,5,21,7,14,67,0.97,1.05,l
a,64,77,36.2,64.0,33.3,41.4,0.92,17.8,0,24,10,27,9,11,73,0.88,1.09,l
h,61,46,34.7,88.9,25.0,37.8,0.99,12.3,8,12,5,31,8,12,65,0.94,0.69,w
