% 1. Title: 2015 NCAA Basketball Season
%
% 2. Sources:
%      (a) Creator: Reed Wilson
%      (b) Date: March 9, 2015

@relation 2015

@attribute location                           { h, a, n }
@attribute points_for                         real
@attribute points_against                     real
@attribute field_goal_percent                 real
@attribute free_throw_percent                 real
@attribute three_point_percent                real
@attribute efficient_field_goal_percent       real
@attribute points_per_weighted_shot           real
@attribute turnover_rate                      real
@attribute blocks                             real
@attribute fouls                              real
@attribute offensive_rebounds                 real
@attribute total_rebounds                     real
@attribute steals                             real
@attribute assists                            real
@attribute possessions                        real
@attribute offensive_points_per_possession    real
@attribute defensive_points_per_possession    real
@attribute outcome                            { w, l }

@data
h,78,75,40.7,67.4,30.0,43.5,1.03,19.1,4,17,8,33,11,13,84,0.93,0.00,w
a,77,79,47.3,81.5,17.6,50.0,1.14,15.0,3,25,11,26,5,9,67,1.15,1.17,l
h,75,62,44.2,65.7,33.3,50.0,1.09,25.1,1,26,12,39,8,16,76,0.99,0.79,w
a,74,103,50.0,71.4,42.9,56.2,1.21,26.3,4,15,8,25,3,8,72,1.02,1.41,l
a,74,103,50.0,71.4,42.9,56.2,1.21,26.3,4,15,8,25,3,8,72,1.02,1.41,l
h,72,64,44.0,74.2,35.7,49.0,1.11,22.6,7,17,10,36,8,10,71,1.02,0.84,w
a,72,85,50.0,62.5,21.7,54.0,1.09,17.4,3,17,9,27,7,12,69,1.05,1.26,l
a,72,78,52.6,72.7,26.7,56.1,1.16,19.1,5,21,7,29,5,13,68,1.06,1.12,l
a,69,70,46.0,63.6,42.9,55.0,1.14,21.9,4,12,14,34,5,13,59,1.16,1.16,l
a,67,72,41.1,66.7,21.7,45.5,0.99,22.7,5,27,13,27,8,6,70,0.95,0.96,l
a,66,64,47.1,58.8,47.1,54.9,1.12,20.0,1,20,7,30,5,14,65,1.01,1.06,w
h,65,82,43.5,70.0,26.7,47.8,1.08,27.0,5,23,9,26,6,7,70,0.93,1.18,l
a,63,58,45.3,58.8,29.4,50.0,1.03,20.0,1,25,9,26,8,10,65,0.97,0.89,w
h,61,67,40.4,73.1,30.8,44.7,1.03,26.9,3,24,5,29,10,12,74,0.82,0.92,l
a,60,66,37.7,58.8,18.2,41.0,0.87,18.9,5,30,9,32,7,13,74,0.81,0.90,l
a,59,71,45.8,60.0,23.1,49.0,1.03,25.2,4,19,7,22,7,14,68,0.87,1.10,l
a,59,96,40.4,71.4,38.1,47.4,0.98,35.5,2,17,13,34,5,15,73,0.81,1.27,l
h,58,53,43.2,73.7,27.3,50.0,1.09,22.4,5,18,8,27,7,12,58,1.00,0.89,w
h,57,50,34.0,81.8,16.7,36.8,0.90,21.1,8,19,11,33,5,7,66,0.86,0.76,w
a,55,65,39.6,53.8,35.3,45.3,0.93,29.3,3,23,11,23,11,8,68,0.81,0.97,l
a,54,93,31.4,56.7,25.0,36.3,0.83,23.4,3,22,13,26,6,8,68,0.79,1.33,l
a,50,79,36.4,45.0,7.7,37.3,0.78,18.7,2,21,8,31,5,11,70,0.72,1.17,l
a,93,65,54.4,62.9,40.9,62.3,1.26,14.0,7,23,6,49,4,15,79,1.18,0.79,w
n,82,69,46.4,88.5,38.9,52.7,1.20,23.5,3,27,13,36,7,16,72,1.13,0.98,w
a,75,85,43.8,73.7,22.7,47.7,1.03,9.7,3,18,8,28,7,10,72,1.04,1.22,l
a,74,82,39.6,70.6,33.3,47.2,1.07,18.9,4,28,9,32,5,13,74,1.00,1.08,l
h,73,69,34.5,81.5,45.8,44.0,1.03,22.8,7,17,10,36,7,12,79,0.93,0.85,w
h,71,52,39.7,57.1,31.2,44.0,0.95,25.7,5,21,14,51,7,14,82,0.87,0.64,w
h,71,74,35.0,75.0,31.2,39.2,0.94,13.0,3,22,15,36,6,12,69,1.03,1.04,l
h,70,66,44.9,59.5,28.6,49.0,1.05,24.8,8,17,15,38,5,10,69,1.02,0.82,w
h,69,80,41.1,65.4,24.0,46.4,1.01,16.1,5,22,11,34,5,10,68,1.01,1.15,l
a,68,67,42.6,51.9,38.1,50.0,1.02,18.4,11,24,9,37,2,13,71,0.96,0.91,w
a,67,86,41.1,57.7,35.3,46.4,0.98,14.6,3,14,10,23,8,7,68,0.98,1.26,l
n,66,74,47.3,85.7,57.1,54.5,1.13,13.8,3,17,2,24,4,11,65,1.01,1.16,l
a,66,68,56.1,58.6,30.0,59.8,1.20,27.6,4,30,5,25,12,10,69,0.96,0.99,l
h,64,61,44.2,52.0,26.3,49.0,1.00,15.4,5,17,9,31,7,10,65,0.99,0.91,w
a,63,63,50.0,56.5,28.6,54.3,1.11,25.0,6,31,6,33,7,14,68,0.93,0.78,w
a,62,54,30.4,75.0,18.2,33.9,0.87,17.1,6,23,13,43,7,4,70,0.88,0.79,w
h,62,58,41.2,64.0,26.7,45.1,0.99,26.1,8,24,12,39,5,7,69,0.90,0.83,w
a,60,63,40.4,52.9,21.7,44.7,0.92,15.4,3,18,10,35,3,9,65,0.92,0.96,l
h,60,64,50.0,77.8,33.3,55.2,1.15,18.6,5,12,4,21,5,12,59,1.01,1.12,l
h,58,54,33.9,73.7,20.0,37.3,0.85,18.7,7,23,16,39,6,10,64,0.91,0.74,w
a,56,90,33.9,70.6,22.2,37.3,0.83,21.6,1,25,9,30,10,10,74,0.76,1.19,l
a,56,65,36.4,57.9,23.8,40.9,0.87,24.3,3,22,8,32,7,9,74,0.76,0.92,l
h,53,64,43.4,36.4,20.0,46.2,0.91,16.6,7,16,13,29,7,11,54,0.98,0.97,l
a,48,68,32.7,50.0,18.2,36.4,0.77,19.1,1,23,16,37,5,10,58,0.83,1.07,l
a,47,65,37.7,37.5,21.1,41.5,0.83,21.0,0,22,8,30,6,8,62,0.76,1.02,l
a,47,73,37.0,22.2,41.7,41.7,0.81,21.3,3,20,14,32,6,9,56,0.84,1.00,l
h,46,59,35.6,68.4,7.1,36.7,0.85,24.1,4,21,10,33,5,3,58,0.79,0.91,l
a,41,83,34.3,63.6,27.3,38.6,0.90,37.0,1,23,8,30,4,4,59,0.69,1.16,l
a,41,56,33.3,62.5,33.3,36.9,0.83,31.1,3,15,12,30,8,11,55,0.75,1.02,w
n,121,85,55.4,84.6,58.6,66.9,1.40,17.4,4,23,15,49,10,28,86,1.40,0.00,w
h,101,48,54.4,66.7,23.8,58.1,1.21,19.8,5,18,15,47,19,24,86,1.18,0.00,w
a,99,68,60.0,72.0,53.6,73.6,1.48,13.3,0,19,8,37,6,22,68,1.46,1.00,w
h,97,88,50.8,77.4,33.3,56.2,1.22,10.2,2,21,9,32,9,22,79,1.23,1.11,w
h,95,90,51.9,84.8,45.8,62.0,1.36,21.3,3,22,7,31,6,19,80,1.19,1.13,w
a,93,80,53.8,84.4,50.0,63.5,1.38,19.1,4,26,8,34,6,19,73,1.27,1.07,w
a,91,81,39.4,87.2,20.0,43.2,1.08,7.9,1,19,15,42,9,13,76,1.21,1.05,w
h,91,62,53.6,50.0,35.0,58.7,1.16,14.2,0,18,12,45,9,22,78,1.17,0.81,w
h,90,73,48.3,85.2,37.5,55.8,1.24,23.8,3,21,12,46,8,23,80,1.13,0.92,w
h,90,76,58.2,73.3,53.6,71.8,1.45,26.7,0,19,10,31,8,24,71,1.27,1.06,w
n,87,92,38.5,63.6,43.3,46.8,0.98,11.6,4,24,12,32,6,13,86,1.01,1.11,l
a,87,68,45.8,87.1,30.0,50.8,1.18,14.8,3,14,16,39,7,20,68,1.29,1.02,w
h,85,72,50.9,76.2,44.8,62.7,1.31,19.1,3,16,10,30,10,25,68,1.25,1.00,w
n,85,87,43.5,75.0,33.3,49.2,1.10,13.7,7,30,8,30,9,14,80,1.06,1.05,l
h,84,59,50.0,77.3,50.0,57.8,1.23,12.2,9,16,11,37,1,18,65,1.28,0.89,w
a,82,69,44.1,75.0,38.9,49.3,1.06,12.2,1,23,13,35,17,17,74,1.12,0.97,w
h,82,60,50.0,78.9,47.4,57.8,1.22,14.9,7,19,10,32,9,19,67,1.22,0.90,w
a,81,46,47.2,82.1,36.4,54.7,1.22,14.6,3,17,8,43,7,18,68,1.19,0.68,w
h,80,87,39.7,87.1,28.0,45.7,1.10,15.6,0,18,8,34,4,13,77,1.04,1.15,l
h,79,77,42.6,72.4,28.6,47.5,1.06,15.8,3,14,11,32,4,17,76,1.04,1.04,w
n,78,76,44.0,76.3,33.3,49.0,1.15,12.8,3,17,7,35,6,12,70,1.11,1.08,w
h,78,74,40.0,69.7,15.0,42.3,0.97,10.0,2,22,9,35,8,14,80,0.98,0.94,w
h,78,57,40.7,67.9,51.7,54.6,1.16,16.1,5,20,10,40,6,17,68,1.14,0.82,w
a,77,82,45.5,85.0,40.0,54.5,1.19,17.3,1,24,7,26,6,11,70,1.11,1.20,l
h,77,71,39.0,81.2,23.8,43.2,1.04,16.0,3,13,11,37,10,12,75,1.02,0.96,w
a,76,60,54.3,73.7,63.2,67.4,1.38,25.4,1,25,8,34,8,16,63,1.21,0.93,w
h,75,62,46.9,85.2,50.0,53.1,1.21,18.8,4,24,10,34,6,11,64,1.18,0.99,w
a,74,80,47.2,74.1,23.5,50.9,1.12,18.2,2,21,12,27,6,12,66,1.12,1.18,l
a,74,77,44.4,88.2,20.0,46.8,1.04,14.5,2,24,6,31,6,12,76,0.97,1.04,l
h,61,65,36.9,60.0,35.0,42.3,0.87,10.2,3,21,8,27,8,12,69,0.89,0.93,l
h,61,67,38.1,87.5,23.1,42.9,0.91,15.8,3,17,8,27,5,12,70,0.87,1.04,l
n,94,88,40.0,73.2,19.0,42.7,0.99,9.3,2,20,16,46,6,10,86,1.09,0.98,w
h,92,83,50.0,64.0,46.7,61.3,1.25,11.3,3,16,11,31,6,20,71,1.30,1.17,w
h,85,71,54.5,84.0,28.6,58.2,1.27,12.9,3,15,6,27,9,15,70,1.22,1.01,w
a,79,74,58.0,58.6,36.4,62.0,1.24,17.2,0,21,6,32,7,13,70,1.13,1.05,w
h,79,83,43.7,61.1,30.0,47.9,0.99,9.4,8,20,12,35,5,13,75,1.06,1.09,l
h,77,64,44.6,50.0,45.8,53.1,1.06,16.8,7,15,13,39,3,17,72,1.08,0.00,w
a,75,65,44.4,73.1,50.0,51.9,1.13,10.6,0,16,7,25,13,11,66,1.13,0.95,w
a,74,77,37.7,70.8,21.7,41.3,0.92,17.2,4,27,13,42,7,12,81,0.91,0.94,l
h,73,78,35.8,70.0,47.8,44.0,0.95,7.1,2,25,11,29,4,12,71,1.04,1.09,l
h,73,65,47.3,65.0,42.1,54.5,1.13,12.4,2,19,8,38,4,15,65,1.13,0.97,w
a,73,82,45.6,61.5,40.6,57.0,1.16,19.1,1,20,8,25,7,12,68,1.07,1.22,l
h,73,68,51.1,73.1,40.0,57.4,1.23,28.2,5,25,6,32,6,17,74,0.98,0.93,w
h,70,72,40.0,65.4,36.0,48.2,1.04,21.3,2,18,12,31,4,12,70,1.00,1.00,l
h,70,57,45.6,83.3,34.8,52.6,1.12,9.6,4,11,6,28,4,17,63,1.12,0.92,w
h,69,72,40.7,90.0,38.9,47.2,1.09,12.0,1,23,5,26,5,14,67,1.04,1.08,l
h,69,61,45.1,76.2,38.9,52.0,1.13,21.3,3,23,13,40,3,11,61,1.13,0.99,w
a,69,75,44.8,90.0,33.3,51.7,1.10,7.8,3,21,4,20,10,11,64,1.08,1.09,l
a,69,82,42.3,81.2,40.0,53.8,1.16,25.5,4,23,10,24,5,19,67,1.04,1.30,l
h,68,75,36.9,73.3,31.0,43.8,0.94,7.0,1,20,6,28,5,17,71,0.96,1.02,l
a,68,73,47.9,56.5,56.2,57.3,1.15,11.5,3,14,5,27,6,13,61,1.12,1.07,l
a,64,66,38.7,54.5,18.2,41.9,0.88,16.1,2,22,15,41,5,6,68,0.94,0.91,l
h,64,46,51.0,100.0,25.0,52.9,1.15,16.7,2,17,6,30,4,13,60,1.07,0.76,w
n,64,54,39.5,62.9,36.4,48.8,1.07,13.2,10,16,7,31,4,9,61,1.06,0.77,w
a,63,58,41.5,92.3,43.8,48.1,1.06,19.3,0,19,9,32,5,10,62,1.01,0.92,w
a,62,91,34.4,73.7,33.3,39.3,0.89,18.2,4,18,7,28,3,10,77,0.81,1.17,l
a,61,76,35.6,72.2,27.3,40.7,0.90,21.0,0,17,15,36,5,8,67,0.92,1.22,l
h,61,77,33.9,77.3,19.0,37.3,0.88,12.2,1,13,12,28,2,7,65,0.93,1.18,l
h,55,60,36.5,70.6,33.3,41.3,0.92,19.3,3,17,10,31,3,9,62,0.89,0.87,l
a,52,64,28.8,82.6,20.0,31.7,0.83,16.4,2,22,7,31,4,9,67,0.78,0.98,l
n,46,66,34.6,46.2,19.0,38.5,0.79,23.4,0,19,9,27,12,10,64,0.72,1.05,l
a,86,73,53.1,77.4,55.6,63.3,1.35,13.0,1,14,10,30,5,7,62,1.39,1.10,w
h,81,61,49.2,60.0,21.7,53.4,1.11,22.1,2,20,17,43,7,17,72,1.12,0.00,w
a,80,71,46.4,64.7,31.6,51.8,1.11,12.6,2,20,10,32,6,13,71,1.12,1.00,w
h,78,66,50.0,58.1,40.0,55.6,1.13,19.3,3,21,10,41,5,22,73,1.07,0.87,w
h,75,77,54.3,81.8,35.0,62.0,1.33,22.6,3,20,5,25,4,16,66,1.13,1.16,l
h,74,68,40.7,60.7,34.6,48.3,1.02,19.1,2,16,13,40,8,16,73,1.01,0.88,w
a,73,69,42.9,73.1,31.6,48.2,1.07,12.1,1,17,10,37,3,10,66,1.10,0.94,w
a,73,69,42.9,73.1,31.6,48.2,1.07,12.1,1,17,10,37,3,10,66,1.10,0.94,w
h,72,75,35.5,75.8,13.0,37.9,0.93,15.6,3,25,18,40,4,11,71,1.02,1.15,l
a,70,66,38.1,68.0,41.7,42.1,0.93,15.7,2,13,16,36,9,16,70,1.00,0.96,w
h,67,46,49.0,77.8,29.4,54.1,1.16,15.4,1,18,8,28,5,17,59,1.14,0.81,w
h,67,70,44.7,65.5,28.6,51.1,1.10,20.1,3,26,9,22,4,15,65,1.03,1.11,l
a,65,68,35.3,81.2,23.5,38.2,0.86,10.5,4,18,16,35,9,9,67,0.98,1.07,l
a,63,89,40.4,57.1,6.2,41.2,0.90,27.2,0,19,14,35,8,9,77,0.82,1.16,l
a,63,72,38.2,66.7,23.8,42.7,0.95,12.6,4,19,11,32,10,8,63,0.99,1.06,l
a,62,71,51.1,66.7,47.6,61.7,1.24,32.3,0,23,8,24,3,19,62,1.00,1.12,l
h,61,67,36.8,65.2,22.2,40.4,0.90,26.1,3,22,14,38,7,16,73,0.84,0.94,l
h,58,65,36.1,41.2,28.0,41.8,0.84,22.4,6,25,17,37,9,14,67,0.87,0.97,l
h,56,59,38.2,46.2,32.0,45.5,0.92,30.4,2,19,13,38,2,12,69,0.81,0.89,l
a,55,65,37.0,62.5,21.7,41.7,0.89,29.7,1,21,19,40,7,12,61,0.91,1.11,l
a,54,72,29.4,88.2,33.3,38.2,0.91,20.6,1,20,9,22,5,10,63,0.86,1.15,l
a,52,76,32.7,72.2,36.8,39.8,0.90,19.2,3,22,7,22,3,10,63,0.83,1.17,l
a,51,85,31.2,48.8,8.3,32.3,0.76,25.5,5,29,12,34,4,4,74,0.69,1.12,l
a,51,48,33.3,53.3,39.1,42.2,0.88,20.3,1,11,11,29,3,11,59,0.86,0.86,w
a,49,83,35.3,52.9,19.0,39.2,0.83,22.4,1,19,7,22,6,11,67,0.73,1.30,l
a,47,64,35.4,66.7,35.0,42.7,0.90,18.4,1,15,8,24,5,13,54,0.87,1.17,l
a,46,66,36.2,41.7,26.9,43.6,0.87,30.4,4,22,7,21,5,8,66,0.70,1.03,l
h,42,53,27.9,57.1,10.0,30.2,0.75,26.1,4,17,11,30,7,8,61,0.69,0.93,l
a,39,76,24.4,72.2,30.8,28.9,0.73,19.8,2,18,5,24,4,7,61,0.64,1.34,l
h,89,74,56.9,81.2,33.3,61.8,1.34,21.3,2,23,7,30,7,14,75,1.18,0.99,w
h,80,74,49.0,80.6,25.0,53.9,1.22,17.7,6,22,10,28,10,15,68,1.18,1.12,w
h,78,68,47.5,81.8,26.7,50.8,1.12,10.2,4,16,8,38,4,20,68,1.14,0.97,w
h,76,61,37.1,73.0,18.8,39.5,0.96,17.4,5,20,13,44,11,18,81,0.94,0.00,w
h,76,78,50.9,72.7,33.3,54.5,1.16,11.5,2,25,4,22,6,14,69,1.09,1.19,l
a,74,81,50.0,80.0,37.5,55.4,1.17,21.6,1,30,5,25,8,15,74,1.00,1.11,l
a,74,62,44.6,62.5,50.0,52.7,1.10,15.4,4,22,7,32,3,16,71,1.04,0.92,w
h,71,61,43.5,88.9,41.2,51.1,1.21,15.7,1,18,5,29,4,17,64,1.11,0.96,w
a,69,56,50.0,63.6,57.1,57.4,1.17,16.9,2,18,5,24,5,25,65,1.06,0.90,w
a,67,62,52.0,70.6,30.0,55.0,1.15,10.3,5,21,6,30,4,14,58,1.15,1.06,w
a,67,61,42.6,75.0,31.6,48.1,1.06,15.5,4,13,9,33,7,17,65,1.04,0.87,w
h,67,63,39.2,71.0,33.3,44.1,1.02,14.3,8,18,6,26,8,12,70,0.96,0.91,w
h,66,56,37.0,88.2,52.4,47.2,1.06,17.9,3,19,7,35,2,18,67,0.98,0.80,w
h,65,49,48.0,52.4,46.2,54.0,1.08,25.0,4,16,9,37,11,18,68,0.96,0.67,w
h,64,55,47.7,76.2,42.9,54.5,1.19,27.3,8,14,6,34,3,14,66,0.97,0.82,w
n,63,65,50.0,85.0,44.4,54.8,1.22,21.8,1,20,5,19,7,9,60,1.06,1.05,l
a,63,44,40.6,69.2,28.6,42.2,0.90,17.3,2,18,13,37,10,17,69,0.91,0.62,w
a,61,72,37.3,61.5,25.9,44.1,0.96,24.9,0,19,9,35,5,13,72,0.84,0.98,l
a,59,47,44.4,73.9,20.0,46.7,1.05,21.0,6,10,7,38,3,5,62,0.95,0.74,w
h,59,68,50.0,88.9,33.3,53.1,1.13,20.9,3,18,3,18,10,16,62,0.95,1.09,l
a,59,71,37.7,85.0,15.4,39.6,0.94,25.2,3,18,15,31,5,5,64,0.93,1.22,l
a,57,60,39.6,86.4,0.0,39.6,0.98,19.5,3,16,9,27,4,11,61,0.93,1.01,l
h,54,56,33.3,68.2,10.0,34.2,0.80,16.8,2,17,13,33,9,12,65,0.83,0.83,l
h,53,45,30.2,78.9,27.3,35.8,0.85,12.3,1,10,12,32,3,13,57,0.93,0.80,w
h,53,55,36.5,62.5,33.3,41.3,0.89,21.0,5,20,7,32,5,11,67,0.80,0.81,l
a,52,69,36.2,66.7,27.3,41.4,0.85,18.5,3,15,8,23,9,9,65,0.80,1.08,l
n,50,47,41.9,81.8,45.5,47.7,1.04,22.1,4,15,6,28,5,10,54,0.92,0.79,w
a,50,43,33.3,78.6,29.4,38.2,0.87,18.4,7,16,9,37,3,11,60,0.84,0.75,w
h,50,72,34.1,76.0,14.3,35.2,0.89,27.7,1,19,9,29,6,9,65,0.77,1.12,l
a,48,56,42.3,57.1,0.0,42.3,0.87,15.4,2,10,6,24,9,9,58,0.82,0.99,l
a,78,73,51.2,62.2,61.1,64.0,1.29,22.4,4,19,5,40,5,15,72,1.09,1.04,w
h,78,71,43.1,55.6,29.2,48.5,1.00,12.2,5,16,20,40,5,17,66,1.19,1.06,w
h,77,64,48.1,54.5,36.8,54.6,1.11,10.3,5,19,9,32,6,12,68,1.14,0.94,w
h,76,47,42.0,56.5,23.8,45.7,0.95,14.3,4,18,14,51,9,16,77,0.99,0.61,w
h,76,55,56.8,81.8,44.4,65.9,1.40,21.7,7,13,4,34,3,14,64,1.18,0.81,w
a,75,58,50.0,86.4,60.0,56.0,1.24,17.1,6,13,7,27,9,10,64,1.16,0.88,w
a,74,72,50.0,70.0,35.3,55.6,1.17,15.0,4,19,7,27,5,15,67,1.11,1.05,w
h,74,70,53.8,62.5,40.0,61.5,1.24,12.4,7,12,3,25,5,12,65,1.15,1.03,w
h,73,55,40.3,61.8,16.7,41.9,0.93,8.4,2,16,13,35,8,12,71,1.03,0.82,w
h,72,54,48.9,72.2,0.0,48.9,1.12,14.9,3,17,7,36,4,10,67,1.07,0.84,w
h,69,58,51.0,75.0,36.8,58.2,1.22,22.0,7,16,7,31,4,18,64,1.09,0.92,w
h,68,87,40.0,70.0,33.3,45.0,0.98,17.4,3,20,8,31,4,13,75,0.91,1.17,l
a,68,77,33.9,70.6,10.5,35.5,0.87,16.4,4,31,17,38,2,8,73,0.93,1.12,l
h,66,69,34.8,70.0,26.1,39.4,0.87,16.3,1,21,14,33,7,13,74,0.90,0.00,l
a,66,64,41.7,69.0,28.6,47.9,1.07,10.0,2,12,8,33,3,10,60,1.10,1.07,w
h,66,58,46.8,60.0,33.3,51.1,1.08,12.9,2,20,7,30,3,9,62,1.06,0.89,w
h,65,39,46.9,56.0,35.7,52.0,1.07,22.6,7,11,13,42,8,12,62,1.05,0.63,w
h,64,53,41.5,73.9,30.0,44.3,1.00,25.4,3,15,8,36,8,10,75,0.85,0.70,w
a,63,56,36.0,82.1,26.7,40.0,1.00,23.9,1,17,6,37,9,5,75,0.84,0.74,w
a,62,55,43.5,63.3,25.0,46.7,1.03,21.1,4,17,8,39,6,7,66,0.94,0.80,w
a,62,67,35.0,61.5,44.4,45.0,0.94,19.1,5,23,11,27,8,16,68,0.91,0.99,l
n,58,73,34.8,64.7,26.7,39.1,0.93,19.4,5,17,8,29,2,2,67,0.86,1.11,l
a,57,44,48.0,33.3,33.3,53.0,1.02,19.8,1,11,7,37,9,14,61,0.94,0.71,w
h,57,68,28.3,77.8,32.1,35.8,0.83,16.8,2,18,14,35,9,7,66,0.87,1.08,l
a,56,54,38.1,60.0,13.3,39.7,0.83,6.6,2,12,11,31,7,8,61,0.92,0.88,w
h,55,39,37.5,53.6,25.0,41.7,0.90,15.3,6,19,6,40,9,11,65,0.84,0.57,w
a,55,75,41.2,62.5,50.0,49.0,1.00,16.7,2,19,5,23,0,11,60,0.92,1.23,l
n,53,35,47.5,54.5,52.9,58.8,1.17,32.7,3,17,4,27,10,12,61,0.87,0.54,w
h,47,56,34.0,30.8,46.7,40.6,0.79,12.7,1,17,11,25,7,6,55,0.85,1.00,l
a,45,70,31.5,42.9,25.0,36.1,0.74,9.1,1,12,11,27,1,8,55,0.82,1.22,l
h,82,51,46.8,70.8,35.0,52.4,1.12,10.2,4,14,12,34,12,15,68,1.20,0.00,w
h,76,69,60.0,65.6,53.8,68.8,1.38,20.6,0,16,5,29,5,13,63,1.20,1.04,w
h,76,69,42.6,68.8,40.0,50.0,1.10,18.3,5,21,11,33,8,9,71,1.07,1.02,w
h,70,79,35.6,65.4,37.9,44.9,0.98,14.2,3,19,11,30,4,10,70,1.00,1.09,l
n,68,70,45.5,63.6,47.8,55.5,1.13,15.3,5,17,5,28,3,13,65,1.04,1.05,l
a,68,69,56.8,57.9,53.8,64.8,1.28,30.8,1,17,8,24,6,8,65,1.05,1.08,l
a,68,56,46.2,60.7,37.5,49.0,1.04,12.4,4,17,9,34,8,12,64,1.06,0.84,w
h,66,73,38.6,58.1,21.1,42.1,0.92,13.2,4,24,6,26,11,7,76,0.87,0.96,l
h,65,46,41.4,56.5,26.7,44.8,0.94,12.5,1,13,13,36,13,7,64,1.02,0.76,w
a,65,77,44.9,76.5,38.1,53.1,1.14,21.8,1,18,7,23,3,14,64,1.01,1.32,l
a,64,67,43.8,72.7,30.0,50.0,1.09,16.0,1,14,6,22,7,14,62,1.03,1.06,l
n,63,78,42.2,75.0,40.0,46.7,1.08,28.9,3,23,9,26,4,5,69,0.91,1.16,l
h,61,62,42.2,68.2,36.4,51.1,1.10,22.8,3,17,8,30,6,8,61,0.99,1.03,l
a,59,69,54.5,44.4,23.1,58.0,1.12,25.6,2,24,6,24,7,11,63,0.94,1.08,l
a,58,73,42.0,75.0,41.2,49.0,1.04,20.1,2,17,8,23,2,9,60,0.97,1.21,l
a,57,62,42.9,64.3,37.5,49.0,1.02,26.3,2,22,8,31,4,6,65,0.88,0.97,l
h,57,55,43.5,55.6,22.2,45.7,0.97,7.2,4,14,7,22,2,5,56,1.02,1.02,w
h,54,61,35.2,64.3,36.8,41.7,0.89,21.4,2,21,13,34,5,9,61,0.89,1.03,l
a,54,80,31.5,80.0,23.5,35.2,0.85,23.4,4,18,11,34,3,6,69,0.79,1.13,l
h,54,68,36.2,61.5,25.0,40.4,0.91,16.6,1,16,4,30,5,9,66,0.81,1.04,l
a,52,64,40.0,61.5,23.5,44.0,0.93,26.1,3,16,8,32,3,9,65,0.80,1.01,l
h,52,63,36.4,25.0,32.4,46.4,0.91,18.8,3,23,5,28,9,11,64,0.81,0.00,l
h,51,69,37.7,72.7,20.0,40.6,0.88,27.3,3,15,5,28,8,10,73,0.70,0.93,l
h,50,76,34.6,64.3,25.0,39.4,0.85,17.3,3,21,6,30,3,11,64,0.79,1.16,l
a,49,63,30.2,87.5,11.8,32.6,0.90,22.4,2,21,6,26,6,6,62,0.79,0.97,l
a,48,66,27.8,62.5,25.0,30.6,0.73,14.2,1,19,11,26,7,3,63,0.76,1.03,l
h,46,62,31.8,68.8,31.8,39.8,0.89,11.0,2,17,3,18,5,5,55,0.84,1.08,l
a,45,66,33.3,54.5,16.7,36.1,0.76,24.2,2,18,6,22,5,9,70,0.64,0.97,l
a,44,65,34.9,66.7,28.6,39.5,0.88,28.5,4,9,5,26,3,7,63,0.70,1.01,l
a,44,64,34.0,69.2,27.3,37.2,0.83,18.3,3,20,4,22,6,6,60,0.73,1.07,l
a,40,50,33.3,71.4,11.8,35.7,0.82,33.5,0,16,3,24,13,7,69,0.58,0.75,l
a,39,82,26.5,76.9,17.6,29.6,0.71,27.6,2,18,8,32,0,4,65,0.60,1.21,l
h,85,76,60.4,75.9,41.7,65.6,1.38,19.5,6,23,4,30,5,20,72,1.18,1.05,w
a,80,66,49.0,80.8,52.4,60.2,1.30,7.2,3,16,10,34,3,13,55,1.45,1.17,w
a,78,82,43.1,82.4,46.7,55.2,1.18,9.1,1,20,6,23,8,18,66,1.18,1.27,l
a,73,83,39.1,76.5,31.6,43.5,0.95,14.5,4,26,12,29,6,10,76,0.96,1.14,l
a,70,80,44.8,73.7,23.5,48.3,1.04,20.8,2,21,10,33,4,10,72,0.97,1.10,l
n,70,72,52.3,78.9,56.2,62.5,1.32,30.3,4,17,7,27,4,17,66,1.06,1.08,l
a,68,73,40.0,63.2,30.8,46.7,0.99,14.5,1,25,10,33,6,9,69,0.99,1.09,l
a,67,63,41.8,75.0,37.5,47.3,1.04,15.7,1,17,11,34,8,14,64,1.06,0.96,w
h,67,77,45.1,73.7,36.8,52.0,1.12,26.8,3,18,8,27,5,13,71,0.94,1.10,l
a,66,62,44.9,81.0,35.7,50.0,1.12,13.3,1,20,7,30,2,10,60,1.10,1.05,w
h,65,60,38.6,88.9,27.8,43.0,0.99,11.0,4,18,9,29,5,10,64,1.02,0.96,w
h,62,81,34.4,60.0,37.5,41.4,0.87,13.0,6,17,11,32,5,14,69,0.90,1.13,l
n,61,59,33.9,72.7,18.8,36.3,0.84,13.0,1,12,12,41,6,9,69,0.88,0.85,w
a,59,45,48.8,88.9,60.0,59.3,1.25,16.9,6,17,3,26,3,13,53,1.11,0.81,w
h,59,36,48.0,83.3,42.9,54.0,1.12,20.4,4,13,10,36,5,17,54,1.10,0.65,w
a,58,86,35.3,72.7,37.5,41.2,0.94,25.2,4,10,8,28,6,14,71,0.81,1.20,l
h,57,81,33.3,94.4,19.0,37.0,0.91,13.0,5,18,9,24,5,5,62,0.93,1.25,l
a,57,64,41.9,66.7,27.3,45.3,1.02,18.8,1,24,4,22,7,5,64,0.89,1.00,l
a,55,41,40.5,75.0,21.4,44.0,1.03,5.8,5,15,5,25,6,5,51,1.07,0.79,w
h,55,65,39.2,64.7,36.4,43.1,0.93,23.9,3,17,8,33,4,7,67,0.82,0.97,l
